hotelIndex,hotelName,address,rating,latitude,longitude
462,Swagat Palace Hotel,"F2 Desh Bandhu Gupta Road, Karol Bagh police station",1,28.6527,77.19468
722,Hotel Sunshine,"17/B, 21, Dev Nagar,Desh Bandhu Gupta Road, Karol Bagh",3,28.65776,77.182915
5,Hotel Delhi Regency,"8184-85, Arakashan Road, Pahar Ganj",2,28.642601,77.21809
240,Hotel Monarch,"A86, Gali no 2/3, Mahipalpur, Near IGI Airport",2,28.544872,77.12488
214,Hotel S B Inn,"897-898,Chandiwali Gali, Main Bazaar, Paharganj",2,28.641617,77.21487
457,Hotel Woodland Deluxe,"8235/6, Multani Dhanda, Arakashan Road, Pahar Ganj",2,28.646856,77.21236
455,Hotel RS International,"A 24/7880, Arakashan Road, Near New Delhi Railway Station",2,28.645908,77.21548
48,Hotel Bless Inn,"Raj Guru Road , Chuna Mandi , Pahar Ganj , Near New Delhi Station",2,28.641655,77.210655
171,Hotel Samrat - Gurgaon,"4th Floor,Apna Bazar,Gurudwara Road Near Civil Hospital",2,28.460093,77.03192
587,Optimum Baba Residency,"42 Ram Nagar, Street No. 1, Paharganj ",3,28.6466,77.21567
207,Yatri Guest House,"Block-A, Street No.-3, Mahipalpur",2,28.547707,77.12703
237,Hotel Aero Stay,"K 65, Mata Chowk, Opp Corporation Bank, Vasant Kunj road, Mahipalpur",2,28.543177,77.12815
250,Airport Hotel Lotus,"A-113, Road No.3, Mahipalpur, NH 8 Highway",3,28.5483,77.127655
145,Hotel Express 66,"Thapar Chember 3rd floor, 2 Deshbandhu Gupta Road, Pahar Ganj",2,28.64488,77.21377
190,Airport Hotel,"Opp. IGI Airport (T-1), Domestic, New Delhi, Mehram Nagar,	 	Delhi",3,28.565405,77.122765
559,Hotel Splash,"8332-36,  Street No.5 Multani Dhanda",2,28.646635,77.2122
636,Hotel Yatri International,"8120-8187/6, Arakshan Road, Paharganj",2,28.64727,77.21269
686,Hotel Krishna Palace,"4/36 WEA, Saraswati Marg,Karol Bagh",1,28.647915,77.18877
191,Hotel Star Palace,"4590, Main Bazar, Pahar Ganj, Opp. Kathmandu Cafe, Near. New Delhi Railway Station New Delhi",2,28.642357,77.21707
153,Hotel Yes Boss,Building No 875 Main Bazar Chandiwali Gali Paharganj,2,28.642033,77.2159
361,Airport Hotel Sunrise Moon,"Plot No- 118/119, Gali No- 3 Near IGI Airport Mahipalpur",2,28.548365,77.12666
372,Centra Inn,"2503, Nalwa Street, Chuna Mandi, Paharganj",3,28.642141,77.211655
408,Hotel Sahara International Deluxe,"3162/63 Sangtrashan Road-Near Banke Bihari Temple, Paharganj",2,28.64476,77.21263
413,Hotel The Spot,867-868 Gali Chandi Wali Main Bazar Pahar Ganj,3,28.641808,77.21462
632,Angel NRI Hotel,"A-31, NRI City, Greater Noida",2,28.462357,77.512314
645,Hotel Shivdev International,"8518-22  Arakashan Road , Behind Shiela Cinema, Pahar Ganj",3,28.645952,77.215775
773,Airport Hotel Galaxy,"A-184, Street Number- 1, NH-8, Near I.G.I. Airport, Mahipalpur",3,28.54678,77.12631
781,Hotel Sai International @ New Delhi Station,"7864,  Arakashan Road Pahar Ganj",3,28.676107,77.28679
796,DS Mezbaan,"401, Opp.Medanta, Sector 39",3,28.438986,77.04543
820,YoYo Rooms Sai Mandir,"GU 01, C Block,  Sector 71",2,28.599632,77.37344
481,Hotel Royale Paradise,"Y-349C, Sector - 12, Next To H.P. Petrol Pump",3,28.596897,77.34397
256,Hotel Shiva Intercontinental,"8478/13 Arakashan Road, Ram Nagar, Pahar Ganj",3,28.64583,77.21598
490,Hotel Lav-Kush Deluxe,"7784-7800, Ram Nagar Arakashan Road, Behind Shiela Cinema,  Near New Delhi Railway Station, Paharganj",2,28.64568,77.21736
571,Airport Hotel Mayank Residency,"A-230, Road No. 2, A Block, Mahipalpur Extension",2,28.547785,77.127174
652,Pacific Inn Sector 31,"Plot no-1107, Sector 31, Near LIG colony",3,0,0
